aspergillosis	1.0
aspergillosis  invasive	0.9814814814814815
immune disorders	0.9629629629629629
pulmonary aspergillosis	0.9444444444444444
infections	0.9259259259259259
x ray	0.9074074074074074
broncho pulmonary	0.8888888888888888
kidney	0.8703703703703703
lungs	0.8518518518518519
chest x	0.8333333333333334
rare disorders	0.8148148148148148
ray	0.7962962962962963
infection	0.7777777777777778
kidneys	0.7592592592592593
organs	0.7407407407407407
chest pain	0.7222222222222222
scan	0.7037037037037037
abpa	0.6851851851851852
aspergilloma	0.6666666666666666
computerised tomograph	0.6481481481481481
tuberculosis	0.6296296296296297
heart	0.6111111111111112
organ	0.5925925925925926
halo sign	0.5740740740740741
ear infection	0.5555555555555556
fungus ball	0.5370370370370371
blood	0.5185185185185185
ear	0.5
pain	0.48148148148148145
allergic pulmonary	0.46296296296296297
liver failure	0.4444444444444444
bird flu	0.42592592592592593
difficulty breathing	0.4074074074074074
pulmonary disease	0.3888888888888889
cough	0.37037037037037035
breathing difficulties	0.35185185185185186
ear canal	0.3333333333333333
bronchopulmonary	0.3148148148148148
disseminated aspergillosis	0.2962962962962963
aspergillus infection	0.2777777777777778
fungal sinusitis	0.25925925925925924
chills	0.24074074074074073
aspergillosis  allergic	0.2222222222222222
nail infection	0.2037037037037037
coughing up	0.18518518518518517
onychomycosis	0.16666666666666666
nasal	0.14814814814814814
otomycosis	0.12962962962962962
eye infection	0.1111111111111111
copd nos	0.09259259259259259
fungal infection	0.07407407407407407
itching	0.05555555555555555
seizures	0.037037037037037035
keratitis	0.018518518518518517
